issuer_name,source_file,source_page,plan_year_demo,applies_to,rule_type,rule_code,rule_name,rule_text
UnitedHealthcare,IFP2895550-AZ_UHC_IFP_PY26.pdf,5,2026,ALL_DRUGS,coverage_rule,PA,Prior authorization,Requires your health care provider to provide information about why you are taking a medication before your plan can decide how it may be covered.
UnitedHealthcare,IFP2895550-AZ_UHC_IFP_PY26.pdf,5,2026,ALL_DRUGS,coverage_rule,QL,Quantity limit,The largest quantity of medication covered per copayment or in a defined period of time.
UnitedHealthcare,IFP2895550-AZ_UHC_IFP_PY26.pdf,5,2026,ALL_DRUGS,coverage_rule,ST,Step therapy,Requires you to try one or more medications before the medication you are requesting may be covered.
UnitedHealthcare,IFP2895550-AZ_UHC_IFP_PY26.pdf,5,2026,ALL_DRUGS,coverage_rule,SP,Specialty medication,Specialty medications treat complex or rare conditions and may require special storage and handling; plan limits specialty medications to a 1-month supply.
UnitedHealthcare,IFP2895550-AZ_UHC_IFP_PY26.pdf,6,2026,OPIOIDS,coverage_rule,MME,Morphine milligram equivalent,"Additional quantity limits may apply across all opioid drugs used for pain treatment; if prescribed more, member or provider can ask the plan to cover the additional quantity."
UnitedHealthcare,IFP2895550-AZ_UHC_IFP_PY26.pdf,6,2026,OPIOIDS,coverage_rule,7D,7-day initial opioid limit,"If you have not filled an opioid prescription recently, you may be limited to a 7-day supply."
UnitedHealthcare,IFP2895550-AZ_UHC_IFP_PY26.pdf,7,2026,PRIOR_AUTH_REQUESTS,process_rule,PA_REQUEST_CONTENT,Prior authorization request content,"The request should include diagnosis, medication history, clinical justification, medical records/lab tests as needed, and other supporting information."
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2,2026,ALL_DRUGS,tier_definition,0,Tier 0,No copayment for preventive drugs mandated by the ACA; certain age or gender limits apply.
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2,2026,ALL_DRUGS,tier_definition,1A,Tier 1A,Lowest copayment for select drugs that offer the greatest value compared to other drugs used to treat similar conditions.
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2,2026,ALL_DRUGS,tier_definition,1B,Tier 1B,Low copayment for drugs that offer great value compared to other drugs used to treat similar conditions.
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2,2026,ALL_DRUGS,tier_definition,2,Tier 2,Medium copayment covers brand name drugs that are generally more affordable or may be preferred compared to other drugs used to treat the same conditions.
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2,2026,ALL_DRUGS,tier_definition,3,Tier 3,High copayment covers higher cost brand name and non-preferred generic drugs.
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2,2026,ALL_DRUGS,tier_definition,4,Tier 4,"Highest copayment for specialty drugs used to treat complex, chronic conditions and may require special handling, storage, or clinical management."
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2,2026,ALL_DRUGS,tier_definition,6,Tier 6,Coverage for oncology or anti-cancer drugs; cost-share is set equivalent to the member's medical benefit cost-share.
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,3,2026,ALL_DRUGS,coverage_rule,AL,Age limit,Some drugs are only covered for certain ages.
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,3,2026,ALL_DRUGS,coverage_rule,QL,Quantity limit,Some drugs are only covered for a certain amount.
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,3,2026,ALL_DRUGS,coverage_rule,PA,Prior authorization,Your doctor must ask for approval from Ambetter before some drugs will be covered.
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,3,2026,ALL_DRUGS,coverage_rule,ST,Step therapy,"In some cases, you must first try certain drugs before Ambetter covers another drug for your medical condition."
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,3,2026,ALL_DRUGS,coverage_rule,NF,Non-formulary,This product is not covered unless you or your provider request an exception; alternative medications are listed next to the non-covered product.
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,3,2026,ALL_DRUGS,coverage_rule,SP,Specialty drug,These products are Specialty Drugs that may have special fill requirements.
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,3,2026,ALL_DRUGS,coverage_rule,SF,Split fill,"Initially, certain medications may only be available in 15-day-supply increments until you are stabilized on the medication."
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2,2026_demo_proxy,ALL_DRUGS,coverage_condition,MED_NECESSARY,Medical necessity,BCBSAZ covers the medications listed as long as the medication is medically necessary and appropriate.
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2,2026_demo_proxy,ALL_DRUGS,coverage_condition,FDA_APPROVED,FDA-approved diagnosis,BCBSAZ covers the medications listed as long as the medication has been approved by the FDA for the diagnosis for which it has been prescribed.
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2,2026_demo_proxy,ALL_DRUGS,coverage_condition,NOT_EXCLUDED,Not a benefit exclusion,BCBSAZ covers the medications listed as long as the medication is not a benefit plan exclusion.
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2,2026_demo_proxy,ALL_DRUGS,coverage_rule,GENERAL_LIMITS,General limitations,"Covered medications are subject to limitations including prior authorization, step therapy, quantity, age, gender, dosage, and frequency of refills."
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,3,2026_demo_proxy,ALL_DRUGS,exclusion,WEIGHT_GAIN_OR_LOSS,Weight gain or loss exclusion,"Certain medications or medication classes are pharmacy benefit plan exclusions, including weight gain or loss."
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,3,2026_demo_proxy,ALL_DRUGS,exclusion,OFF_LABEL,Off-label and non-FDA-approved exclusion,"Benefit exclusions include non-FDA approved drugs and off-label, unlabeled and orphan medications unless specifically noted in the listing below."
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,6,2026_demo_proxy,ALL_DRUGS,coverage_rule,AL,Age limit,Coverage may be limited to specific patient ages based on FDA recommendations.
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,6,2026_demo_proxy,ALL_DRUGS,coverage_rule,DS,Days supply limit,Coverage may be limited to specific minimum or maximum days' supply.
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,6,2026_demo_proxy,ALL_DRUGS,coverage_rule,PA,Prior authorization,"Certain medications require approval prior to being obtained through pharmacy benefits; requests are reviewed within 10 business days for standard requests, 72 hours for urgent requests, and 24 hours for exigent circumstances."
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,7,2026_demo_proxy,ALL_DRUGS,coverage_rule,QL,Quantity limit,Coverage may be limited to specific quantities per prescription and/or time period based on FDA recommendations.
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,7,2026_demo_proxy,ALL_DRUGS,coverage_rule,ST,Step therapy,"Step therapy requires trying preferred medications before the plan will pay for another medication for the same medical condition; if criteria are not met, the drug may not be covered and the provider may request prior authorization."
